Designator,Pin,PinName,Net,Category,Description
U19,15,,MCU_GPIO_PA1_KEY_UP,IC/模块,CPU内核:ARM-M3;CPU最大主频:72MHz;应用领域:-;
U19,16,,MCU_GPIO_PA2_LED_DATA,IC/模块,CPU内核:ARM-M3;CPU最大主频:72MHz;应用领域:-;
U19,17,,MCU_PA3_EXTI3_DI5,IC/模块,CPU内核:ARM-M3;CPU最大主频:72MHz;应用领域:-;
U19,18,,GND,IC/模块,CPU内核:ARM-M3;CPU最大主频:72MHz;应用领域:-;
U19,19,,MCU_ANALOG_3V3,IC/模块,CPU内核:ARM-M3;CPU最大主频:72MHz;应用领域:-;
U19,20,,MCU_PA4_EXTI4_DI4,IC/模块,CPU内核:ARM-M3;CPU最大主频:72MHz;应用领域:-;
U19,21,,MCU_PA5_EXTI5_DI3,IC/模块,CPU内核:ARM-M3;CPU最大主频:72MHz;应用领域:-;
U19,22,,MCU_PA6_EXTI6_DI2,IC/模块,CPU内核:ARM-M3;CPU最大主频:72MHz;应用领域:-;
U19,23,,MCU_PA7_EXTI7_DI1,IC/模块,CPU内核:ARM-M3;CPU最大主频:72MHz;应用领域:-;
U19,24,,MCU_GPIO_PC4_LED_DI,IC/模块,CPU内核:ARM-M3;CPU最大主频:72MHz;应用领域:-;
U19,25,,MCU_GPIO_PC5_SCREEN_RES,IC/模块,CPU内核:ARM-M3;CPU最大主频:72MHz;应用领域:-;
U19,26,,MCU_GPIO_PB0_KEY_MID,IC/模块,CPU内核:ARM-M3;CPU最大主频:72MHz;应用领域:-;
U19,27,,MCU_GPIO_PB1_SCREEN_BLK,IC/模块,CPU内核:ARM-M3;CPU最大主频:72MHz;应用领域:-;
U19,28,,MCU_GPIO_PB2_SCREEN_DC,IC/模块,CPU内核:ARM-M3;CPU最大主频:72MHz;应用领域:-;
U19,29,,MCU_PB10_I2C2_SCL,IC/模块,CPU内核:ARM-M3;CPU最大主频:72MHz;应用领域:-;
U19,30,,MCU_PB11_I2C2_SDA,IC/模块,CPU内核:ARM-M3;CPU最大主频:72MHz;应用领域:-;
U19,31,,GND,IC/模块,CPU内核:ARM-M3;CPU最大主频:72MHz;应用领域:-;
U19,32,,MCU_ANALOG_3V3,IC/模块,CPU内核:ARM-M3;CPU最大主频:72MHz;应用领域:-;
U19,33,,MCU_PB12_BUZZER_EN,IC/模块,CPU内核:ARM-M3;CPU最大主频:72MHz;应用领域:-;
U19,34,,MCU_SPI2_MOSI_PB13_SCREEN,IC/模块,CPU内核:ARM-M3;CPU最大主频:72MHz;应用领域:-;
U19,35,,,IC/模块,CPU内核:ARM-M3;CPU最大主频:72MHz;应用领域:-;
U19,36,,MCU_SPI2_SCK_PB15_SCREEN,IC/模块,CPU内核:ARM-M3;CPU最大主频:72MHz;应用领域:-;
U19,37,,,IC/模块,CPU内核:ARM-M3;CPU最大主频:72MHz;应用领域:-;
U19,38,,,IC/模块,CPU内核:ARM-M3;CPU最大主频:72MHz;应用领域:-;
U19,39,,$3N306,IC/模块,CPU内核:ARM-M3;CPU最大主频:72MHz;应用领域:-;
U19,40,,$3N305,IC/模块,CPU内核:ARM-M3;CPU最大主频:72MHz;应用领域:-;
U19,41,,,IC/模块,CPU内核:ARM-M3;CPU最大主频:72MHz;应用领域:-;
U19,42,,MCU_PA9_USART1_TX_DEBUG,IC/模块,CPU内核:ARM-M3;CPU最大主频:72MHz;应用领域:-;
