Designator,Pin,PinName,Net,Category,Description
J1,5,,RCT,连接器,连接器类型:RJ插座;USOC代码:RJ45;端口数量:1;等级:-;屏蔽:-;LED:带LED;
J1,6,,RXNNET,连接器,连接器类型:RJ插座;USOC代码:RJ45;端口数量:1;等级:-;屏蔽:-;LED:带LED;
J1,7,,,连接器,连接器类型:RJ插座;USOC代码:RJ45;端口数量:1;等级:-;屏蔽:-;LED:带LED;
J1,8,,,连接器,连接器类型:RJ插座;USOC代码:RJ45;端口数量:1;等级:-;屏蔽:-;LED:带LED;
J1,9,,$6N136,连接器,连接器类型:RJ插座;USOC代码:RJ45;端口数量:1;等级:-;屏蔽:-;LED:带LED;
J1,10,,ACTLED,连接器,连接器类型:RJ插座;USOC代码:RJ45;端口数量:1;等级:-;屏蔽:-;LED:带LED;
J1,11,,LINKLED,连接器,连接器类型:RJ插座;USOC代码:RJ45;端口数量:1;等级:-;屏蔽:-;LED:带LED;
J1,12,,$6N138,连接器,连接器类型:RJ插座;USOC代码:RJ45;端口数量:1;等级:-;屏蔽:-;LED:带LED;
J1,SH1,,GND,连接器,连接器类型:RJ插座;USOC代码:RJ45;端口数量:1;等级:-;屏蔽:-;LED:带LED;
J1,SH2,,GND,连接器,连接器类型:RJ插座;USOC代码:RJ45;端口数量:1;等级:-;屏蔽:-;LED:带LED;
U18,1,,TXN,IC/模块,应用功能:以太网控制器;通道数:-;接口类型:SPI;
U18,2,,TXP,IC/模块,应用功能:以太网控制器;通道数:-;接口类型:SPI;
U18,3,,GND,IC/模块,应用功能:以太网控制器;通道数:-;接口类型:SPI;
U18,4,,W5500_3V3,IC/模块,应用功能:以太网控制器;通道数:-;接口类型:SPI;
U18,5,,RXN,IC/模块,应用功能:以太网控制器;通道数:-;接口类型:SPI;
U18,6,,RXP,IC/模块,应用功能:以太网控制器;通道数:-;接口类型:SPI;
U18,7,,,IC/模块,应用功能:以太网控制器;通道数:-;接口类型:SPI;
U18,8,,W5500_3V3,IC/模块,应用功能:以太网控制器;通道数:-;接口类型:SPI;
U18,9,,GND,IC/模块,应用功能:以太网控制器;通道数:-;接口类型:SPI;
U18,10,,$6N126,IC/模块,应用功能:以太网控制器;通道数:-;接口类型:SPI;
U18,11,,W5500_3V3,IC/模块,应用功能:以太网控制器;通道数:-;接口类型:SPI;
U18,12,,,IC/模块,应用功能:以太网控制器;通道数:-;接口类型:SPI;
U18,13,,,IC/模块,应用功能:以太网控制器;通道数:-;接口类型:SPI;
U18,14,,GND,IC/模块,应用功能:以太网控制器;通道数:-;接口类型:SPI;
U18,15,,W5500_3V3,IC/模块,应用功能:以太网控制器;通道数:-;接口类型:SPI;
U18,16,,GND,IC/模块,应用功能:以太网控制器;通道数:-;接口类型:SPI;
U18,17,,W5500_3V3,IC/模块,应用功能:以太网控制器;通道数:-;接口类型:SPI;
U18,18,,,IC/模块,应用功能:以太网控制器;通道数:-;接口类型:SPI;
U18,19,,GND,IC/模块,应用功能:以太网控制器;通道数:-;接口类型:SPI;
U18,20,,$6N120,IC/模块,应用功能:以太网控制器;通道数:-;接口类型:SPI;
U18,21,,W5500_3V3,IC/模块,应用功能:以太网控制器;通道数:-;接口类型:SPI;
U18,22,,$6N94,IC/模块,应用功能:以太网控制器;通道数:-;接口类型:SPI;
U18,23,,$6N89,IC/模块,应用功能:以太网控制器;通道数:-;接口类型:SPI;
U18,24,,,IC/模块,应用功能:以太网控制器;通道数:-;接口类型:SPI;
U18,25,,LINKLED,IC/模块,应用功能:以太网控制器;通道数:-;接口类型:SPI;
U18,26,,,IC/模块,应用功能:以太网控制器;通道数:-;接口类型:SPI;
U18,27,,ACTLED,IC/模块,应用功能:以太网控制器;通道数:-;接口类型:SPI;
U18,28,,ERTHER_3V3,IC/模块,应用功能:以太网控制器;通道数:-;接口类型:SPI;
U18,29,,GND,IC/模块,应用功能:以太网控制器;通道数:-;接口类型:SPI;
U18,30,,$6N110,IC/模块,应用功能:以太网控制器;通道数:-;接口类型:SPI;
U18,31,,$6N117,IC/模块,应用功能:以太网控制器;通道数:-;接口类型:SPI;
U18,32,,MCU_GPIO_PC13_CS_W5500,IC/模块,应用功能:以太网控制器;通道数:-;接口类型:SPI;
U18,33,,MCU_SPI1_PB3_SCK_W5500,IC/模块,应用功能:以太网控制器;通道数:-;接口类型:SPI;
U18,34,,MCU_SPI1_PB4_MISO_W5500,IC/模块,应用功能:以太网控制器;通道数:-;接口类型:SPI;
U18,35,,MCU_SPI1_PB5_MOSI_W5500,IC/模块,应用功能:以太网控制器;通道数:-;接口类型:SPI;
U18,36,,MCU_EXTI_PC14_INT_W5500,IC/模块,应用功能:以太网控制器;通道数:-;接口类型:SPI;
U18,37,,MCU_GPIO_PC15_RST_W5500,IC/模块,应用功能:以太网控制器;通道数:-;接口类型:SPI;
U18,38,,$6N104,IC/模块,应用功能:以太网控制器;通道数:-;接口类型:SPI;
U18,39,,$6N104,IC/模块,应用功能:以太网控制器;通道数:-;接口类型:SPI;
U18,40,,$6N104,IC/模块,应用功能:以太网控制器;通道数:-;接口类型:SPI;
U18,41,,$6N104,IC/模块,应用功能:以太网控制器;通道数:-;接口类型:SPI;
U18,42,,$6N104,IC/模块,应用功能:以太网控制器;通道数:-;接口类型:SPI;
U18,43,,$6N106,IC/模块,应用功能:以太网控制器;通道数:-;接口类型:SPI;
U18,44,,$6N106,IC/模块,应用功能:以太网控制器;通道数:-;接口类型:SPI;
U18,45,,$6N106,IC/模块,应用功能:以太网控制器;通道数:-;接口类型:SPI;
U18,46,,,IC/模块,应用功能:以太网控制器;通道数:-;接口类型:SPI;
U18,47,,,IC/模块,应用功能:以太网控制器;通道数:-;接口类型:SPI;
U18,48,,GND,IC/模块,应用功能:以太网控制器;通道数:-;接口类型:SPI;
R28,1,,$6N106,电阻,电阻类型:厚膜电阻;阻值:10kΩ;精度:±1%;功率:62.5mW;
R28,2,,ERTHER_3V3,电阻,电阻类型:厚膜电阻;阻值:10kΩ;精度:±1%;功率:62.5mW;
R30,1,,$6N104,电阻,电阻类型:厚膜电阻;阻值:10kΩ;精度:±1%;功率:62.5mW;
R30,2,,GND,电阻,电阻类型:厚膜电阻;阻值:10kΩ;精度:±1%;功率:62.5mW;
R37,1,,GND,电阻,电阻类型:厚膜电阻;阻值:10kΩ;精度:±1%;功率:62.5mW;
R37,2,,$6N89,电阻,电阻类型:厚膜电阻;阻值:10kΩ;精度:±1%;功率:62.5mW;
X3,1,,$6N117,连接器,频率:25MHz;频率公差:±10ppm;负载电容:12pF;
X3,2,,GND,连接器,频率:25MHz;频率公差:±10ppm;负载电容:12pF;
X3,3,,$6N110,连接器,频率:25MHz;频率公差:±10ppm;负载电容:12pF;
X3,4,,GND,连接器,频率:25MHz;频率公差:±10ppm;负载电容:12pF;
C43,1,,$6N117,电容,容值:12pF;精度:±5%;额定电压:50V;材质(温度系数):C0G;
C43,2,,GND,电容,容值:12pF;精度:±5%;额定电压:50V;材质(温度系数):C0G;
C44,1,,GND,电容,容值:12pF;精度:±5%;额定电压:50V;材质(温度系数):C0G;
C44,2,,$6N110,电容,容值:12pF;精度:±5%;额定电压:50V;材质(温度系数):C0G;
L6,1,,ERTHER_3V3,电感,电感值:1uH;精度:±20%;额定电流:280mA;
L6,2,,W5500_3V3,电感,电感值:1uH;精度:±20%;额定电流:280mA;
C37,1,,GND,电容,容值:10uF;精度:±20%;额定电压:6.3V;材质(温度系数):X5R;
C37,2,,ERTHER_3V3,电容,容值:10uF;精度:±20%;额定电压:6.3V;材质(温度系数):X5R;
C38,1,,GND,电容,容值:100nF;精度:±10%;额定电压:16V;材质(温度系数):X7R;
C38,2,,ERTHER_3V3,电容,容值:100nF;精度:±10%;额定电压:16V;材质(温度系数):X7R;
C39,1,,GND,电容,容值:100nF;精度:±10%;额定电压:16V;材质(温度系数):X7R;
C39,2,,W5500_3V3,电容,容值:100nF;精度:±10%;额定电压:16V;材质(温度系数):X7R;
R34,1,,W5500_3V3,电阻,电阻类型:厚膜电阻;阻值:51Ω;精度:±1%;功率:62.5mW;温度系数:±100ppm/℃;
R34,2,,TXP,电阻,电阻类型:厚膜电阻;阻值:51Ω;精度:±1%;功率:62.5mW;温度系数:±100ppm/℃;
R32,1,,W5500_3V3,电阻,电阻类型:厚膜电阻;阻值:51Ω;精度:±1%;功率:62.5mW;温度系数:±100ppm/℃;
R32,2,,TXN,电阻,电阻类型:厚膜电阻;阻值:51Ω;精度:±1%;功率:62.5mW;温度系数:±100ppm/℃;
